N:A2.KT.T763.AKQ87 KQ873.J54.Q85.T9 T5.Q632.KJ94.654 J964.A987.A2.J32,10,10,7,5,7,3,2,6,8,4,10,10,7,5,7,3,2,6,8,4
N:AKQ92.AJ953.84.6 64.Q82.A53.AT953 JT7.74.T97.QJ742 853.KT6.KQJ62.K8,5,4,8,9,6,8,9,4,4,7,5,4,8,9,6,8,9,5,4,7
N:Q654.KJ85.AKJ5.K T2.A62.Q62.AQ642 AK9.QT9.94.JT987 J873.743.T873.53,10,9,10,10,10,3,4,3,3,3,10,9,10,10,10,3,4,3,3,3
N:Q962.AJ942.7.A75 AT83.Q83.652.KT3 KJ.K6.AKJT83.J64 754.T75.Q94.Q982,9,9,10,9,8,4,2,2,3,4,9,9,10,9,8,4,2,1,3,3
N:843.KQ9.AJT52.JT KJ5.A.Q743.K7654 QT.J743.K96.9832 A9762.T8652.8.AQ,4,6,4,2,4,9,7,8,11,9,4,6,4,2,4,9,7,8,11,9
N:984.AT8643.K2.Q6 AK.J92.A83.J9742 QJ76.KQ5.Q7.AT53 T532.7.JT9654.K8,6,4,9,7,8,6,9,4,5,4,6,4,9,7,8,7,9,4,5,4
N:AK7.QJ98.A87.AT5 Q953.6543.T54.KQ J.KT7.KQ96.98764 T8642.A2.J32.J32,10,10,11,7,10,3,3,2,6,3,10,10,11,7,10,3,3,2,6,3
N:A95.5.AKQJ72.A87 QJ3.K643.643.965 KT872.QJ.95.JT32 64.AT9872.T8.KQ4,9,11,6,10,7,3,2,7,2,4,9,11,6,10,7,3,2,7,2,4
N:A63.KQJT6.3.AQ84 KQT84.97.8.T9762 7.A832.K96542.KJ J952.54.AQJT7.53,8,9,12,5,10,4,4,1,7,3,8,9,12,6,10,4,4,1,7,3
N:T96.83.Q92.AKJ53 AK7.KQ74.54.QT64 Q5432.952.K6.987 J8.AJT6.AJT873.2,5,2,2,6,3,7,11,11,7,10,5,2,2,6,3,7,11,11,7,10
N:QJ85.7542.T2.QT3 KT763.J98.Q53.A4 92.AQ.974.KJ9875 A4.KT63.AKJ86.62,7,2,2,3,2,6,11,11,9,8,7,2,2,3,2,6,11,11,9,8
N:92.Q.J86432.QT92 AJ8763.KJ87.A.K7 KT4.T5.KQT9.AJ63 Q5.A96432.75.854,9,10,2,2,2,4,3,11,11,8,9,10,2,2,2,3,3,10,10,8
N:9.A7.AQJ532.AK94 A8763.KJ8.K64.87 K4.QT9652.T9.J65 QJT52.43.87.QT32,10,10,10,5,8,3,3,3,8,3,9,9,10,5,8,3,3,3,8,3
N:K.742.Q85.AQJ643 A754.K85.KJ9.982 JT62.J963.T72.T5 Q983.AQT.A643.K7,5,3,4,3,3,7,9,9,10,7,5,3,4,3,3,8,10,9,10,9
N:9432.Q85.AJ.J985 T.A762.K862.KQ62 KQ7.JT3.QT973.73 AJ865.K94.54.AT4,3,5,3,4,4,9,8,9,9,8,3,5,3,4,4,9,8,10,9,8
N:AK.J85.Q865.T532 97.AQ932.AJ32.86 JT8532.764.K.KJ9 Q64.KT.T974.AQ74,5,3,3,5,3,8,10,10,7,10,5,3,3,5,3,8,10,10,7,10
N:AT.K862.QT6.JT94 KQ864.93.9.AKQ86 92.QJ754.K532.52 J753.AT.AJ874.73,3,5,7,1,4,10,7,5,11,8,3,5,7,1,4,10,7,5,11,8
N:Q86542.9.KQJ4.A2 A9.AQ653.9853.K3 KJT3.T82.T62.987 7.KJ74.A7.QJT654,1,5,1,9,1,11,7,11,4,7,1,5,1,9,1,11,7,11,4,7
N:KT87.J4.J952.854 65432.T8.Q4.J762 A9.965.A873.AT93 QJ.AKQ732.KT6.KQ,7,8,4,6,6,6,5,8,7,7,7,8,4,6,6,6,5,8,7,7
N:864.A4.AJ976.J62 Q52.KQ9.KT52.K53 KJT9.65.84.AQT87 A73.JT8732.Q3.94,9,8,5,9,7,4,4,8,4,5,9,8,5,9,7,3,4,7,3,3
